Class,SVM Class Level Accuracy,KNN Class Level Accuracy,RF Class Level Accuracy
classic pop and rock,0.012973961,0.04323095,0.492823173
punk,0.45624333,0.522945571,0.717716115
folk,0.168625861,0.204660021,0.516923471
pop,0.142283202,0.233247423,0.58361128
dance and electronica,0.299539171,0.331797235,0.126728111
metal,0.609137056,0.342178126,0.455699123
jazz and blues,0.680023642,0.537795346,0.663326255
classical,0.030939829,0.296226548,0.147185439
hip-hop,0.3303125,0.3415625,0.483125
soul and reggae,0.074950199,0.28187251,0.351593625
